FeatureGroupIndex	FileName	MonoisotopicMass	AverageMass	StartRetentionTime(FWHM)	EndRetentionTime(FWHM)	HighestApexRetentionTime	MedianApexRetentionTime	FeatureGroupQuantity	AllAreaUnderTheCurve	SumIntensity	MinCharge	MaxCharge	ChargeCount	MostAbundantFeatureCharge	IsotopeCosineScore
1257	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	7491.283780	7495.954352	1100.123049	1146.468096	1134.904675	1123.324126	3639914.089467	3775975.366283	3764533.452763	10	15	6	13	0.913440
1258	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	6236.565953	6240.404237	1096.233214	1142.629349	1115.630792	1115.630792	942213.972809	962180.457933	887077.040506	9	11	3	11	0.880131
1259	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	8496.641652	8501.898996	1387.951653	1452.072830	1407.121046	1410.889453	127772120.378045	147398049.817001	147398085.817001	9	15	7	11	0.979319
1260	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	8493.658691	8498.916035	1092.344728	1146.468096	1119.484110	1119.484110	27452425.143116	30573832.702771	30573891.702771	7	14	8	10	0.960784
1261	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	4249.331637	4252.005354	1146.468096	1177.373846	1150.288217	1157.838386	4481612.303758	5560704.429518	3844212.592240	5	8	4	8	0.878813
1262	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	4248.842399	4251.516115	1345.835167	1391.766368	1372.635316	1366.891326	2324864.312031	2639967.993618	2379774.904452	5	7	3	7	0.877027
1263	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	8685.745090	8691.128255	1134.904675	1185.005228	1150.288217	1153.749066	138325391.778988	183830821.648181	183830925.648181	9	18	10	11	0.962644
1264	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	4613.218519	4616.105776	2687.437400	2738.927386	2699.948430	2699.948430	14312187.046298	14604508.379621	14604515.379621	6	8	3	6	0.850262
1265	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	9517.268640	9523.247141	1642.228163	1696.010337	1664.231099	1664.231099	11962464.461006	12788161.036283	12788172.036283	13	15	3	15	0.931209
1266	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	5289.942334	5293.235818	1778.443332	1817.746079	1785.851463	1789.585355	34081916.387549	36771200.363137	36771223.363137	6	9	4	8	0.976105
1267	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	5688.422514	5691.931790	6112.505546	6157.972366	6125.727676	6129.505021	16663955.348532	18322345.044454	18322358.044454	8	10	3	9	0.904789
1268	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	6904.132905	6908.462083	6482.857538	6624.772718	6563.534075	6563.534075	5354047.918989	5854165.762946	5310288.657016	10	14	5	11	0.881991
1269	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	3452.548318	3454.658362	6482.857538	6608.250894	6531.263819	6535.147004	1594604.420909	1704765.233420	1676014.157780	4	7	4	5	0.883032
1270	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	9305.891689	9311.634240	1875.380362	1895.397566	1884.207288	1884.207288	26098033.959935	26098033.959935	26098048.959935	7	9	3	8	0.932586
